Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
AOC2	"DAO2, RAO"	ENSG00000131480	"Amine oxidase copper containing 2"	O75106	17	42844580-42850707	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Catecholamine metabolism"	Oxidoreductase		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Group enriched"	"Detected in some"	6	"Early spermatids: 12.3;Late spermatids: 18.5"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in some"		"Testicular Germ Cell Tumor (TCGA): 5.4"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	5	"neutrophil: 1.1"	"Lineage enriched"	"Detected in single"	7	"granulocytes: 1.1"	"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Adipocytes (Breast), Pituitary gland - Corticotropes"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA057779	Uncertain						NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 78: Testis - Transcription"	"Cluster 37: Neurons - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 21: Early spermatids - Spermatogenesis"	2			"HPA057779: "	"unprognostic (2.20e-1)"		"unprognostic (5.36e-2)"			"unprognostic (4.99e-2)"		"unprognostic (1.95e-2)"							"unprognostic (8.25e-2)"				"unprognostic (5.57e-3)"							"unprognostic (4.27e-2)"			"unprognostic (2.69e-1)"		"unprognostic (1.15e-1)"
ASF1B	FLJ10604	ENSG00000105011	"Anti-silencing function 1B histone chaperone"	Q9NVP2	19	14119512-14136613	"Predicted intracellular proteins"	"Differentiation, Spermatogenesis, Transcription, Transcription regulation"	"Chaperone, Chromatin regulator, Developmental protein"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"lymphoid tissue: 22.6;testis: 31.1"	"Cell type enhanced"	"Detected in many"		"Cytotrophoblasts: 37.6;Early spermatids: 30.6;Erythroid cells: 35.2;Extravillous trophoblasts: 35.5;Late spermatids: 34.9;Spermatocytes: 88.9;Spermatogonia: 68.5;Undifferentiated cells: 44.6"	"Cell type enhanced"	"Detected in some"		"central nervous system macrophage: 1.9;leukocyte: 2.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in some"			"Immune cell enriched"	"Detected in many"	7	"neutrophil: 60.3"	"Lineage enriched"	"Detected in all"	7	"granulocytes: 60.3"	"Low cancer specificity"	"Detected in all"			"Adrenal gland - Mitotic cells (Adrenal gland), Colon - Mitotic cells (Colon), Lung - Mitotic cells (Lung), Minor Salivary Gland - Mitotic cells (Minor salivary gland), Skin - Mitotic cells (Skin), Spleen - Mitotic cells (Spleen), Stomach - Mitotic cells (Stomach), Testis - Spermatocytes, Thyroid gland - Mitotic cells (Thyroid)"	"Low region specificity"	"Detected in many"			"Not detected"	"Not detected"			"HPA054036, HPA069385"	Enhanced		Supported	Nucleoplasm			NA	Yes			"Cluster 28: Neutrophils - Unknown function"	"Cluster 4: Testis - Basic cellular processes"	"Cluster 6: Non-specific - Immune response"	"Cluster 23: Non-specific - Transcription"	"Cluster 52: Non-specific - Cell proliferation"	118	Nucleoplasm		"HPA054036: AB_2682350, HPA069385: "	"unprognostic (2.67e-1)"	"unprognostic (4.00e-2)"	"unprognostic (2.06e-1)"	"potential prognostic favorable (8.46e-4)"	"unprognostic (1.06e-1)"	"unprognostic (2.69e-1)"	"unprognostic (4.01e-2)"	"unprognostic (8.70e-2)"	"unprognostic (6.04e-2)"	"potential prognostic unfavorable (1.21e-6)"	"validated prognostic unfavorable (1.59e-4)"	"validated prognostic unfavorable (1.59e-6)"	"potential prognostic unfavorable (3.25e-10)"	"validated prognostic unfavorable (3.84e-4)"	"validated prognostic unfavorable (3.06e-9)"	"validated prognostic unfavorable (2.45e-4)"	"validated prognostic unfavorable (3.22e-5)"	"potential prognostic favorable (7.57e-4)"	"unprognostic (5.45e-3)"	"unprognostic (1.25e-1)"	"unprognostic (2.96e-1)"	"potential prognostic unfavorable (3.01e-6)"	"unprognostic (1.83e-1)"	"unprognostic (1.78e-2)"	"unprognostic (6.20e-2)"	"unprognostic (8.69e-2)"	"unprognostic (2.80e-3)"	"potential prognostic favorable (4.21e-4)"	"unprognostic (1.38e-1)"	"unprognostic (1.89e-2)"	"unprognostic (6.48e-2)"
ATG2A	"BLTP4A, KIAA0404"	ENSG00000110046	"Autophagy related 2A"	Q2TAZ0	11	64894546-64917211	"Predicted intracellular proteins, Transporters"	"Autophagy, Lipid transport, Transport"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"monocytes: 67.6;Syncytiotrophoblasts: 64.6"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	6	"neutrophil: 17.0"	"Lineage enriched"	"Detected in many"	7	"granulocytes: 17.0"	"Low cancer specificity"	"Detected in all"			"Breast - Breast glandular cells, Minor Salivary Gland - Minor salivary glandular cells, Skin - Keratinocyte (granular)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA038715	Uncertain		Uncertain	Nucleoplasm,Vesicles			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 56: Non-specific - Unknown function"	"Cluster 12: Non-specific - Vasculature"	"Cluster 24: Non-specific - Unknown function"	"Cluster 74: Neutrophils - Degranulation"	9	Vesicles	Nucleoplasm	"HPA038715: AB_10673474"	"unprognostic (3.49e-1)"	"unprognostic (1.78e-1)"	"potential prognostic favorable (2.03e-4)"	"unprognostic (4.81e-2)"	"unprognostic (3.33e-2)"	"unprognostic (5.82e-2)"	"unprognostic (4.93e-2)"	"unprognostic (2.44e-1)"	"unprognostic (1.16e-1)"	"unprognostic (4.73e-2)"	"unprognostic (7.42e-2)"	"unprognostic (2.64e-1)"	"unprognostic (4.98e-2)"	"unprognostic (9.28e-3)"	"unprognostic (2.58e-1)"	"unprognostic (7.26e-2)"	"unprognostic (7.34e-2)"	"unprognostic (2.86e-1)"	"unprognostic (3.56e-2)"	"unprognostic (6.06e-2)"	"unprognostic (4.79e-1)"	"unprognostic (5.63e-2)"	"unprognostic (2.08e-1)"	"unprognostic (8.65e-2)"	"unprognostic (2.54e-2)"	"potential prognostic favorable (3.03e-5)"	"unprognostic (2.03e-1)"	"unprognostic (4.81e-2)"	"unprognostic (5.69e-2)"	"unprognostic (2.00e-1)"	"unprognostic (6.16e-2)"
ATP23	"KUB3, XRCC6BP1"	ENSG00000166896	"ATP23 metallopeptidase and ATP synthase assembly factor homolog"	Q9Y6H3	12	57906039-57959148	"Enzymes, Predicted intracellular proteins"		"Hydrolase, Metalloprotease, Protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"testis: 27.0"	"Cell type enhanced"	"Detected in many"		"Early spermatids: 390.3;Late spermatids: 74.6;Spermatocytes: 138.9"	"Low cell type specificity"	"Detected in all"			"Cancer enriched"	"Detected in single"	4	"Stomach Adenocarcinoma (TCGA): 1.4"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	4	"neutrophil: 1.6"	"Lineage enriched"	"Detected in single"	4	"granulocytes: 1.6"	"Low cancer specificity"	"Detected in some"			"Adrenal gland - Adrenal cortex cells, Liver - Hepatocytes, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA035804, HPA043204"	Uncertain		Enhanced	"Vesicles,Plasma membrane,Cell Junctions,Cytosol"			NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 78: Testis - Transcription"	"Cluster 40: Astrocytes - Astrocyte-neuron interactions"	"Cluster 56: Non-specific - Sensory perception"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"	24	"Vesicles, Plasma membrane"	"Cell Junctions, Cytosol"	"HPA035804: AB_10601026, HPA043204: AB_2678361"						"unprognostic (1.03e-1)"		"unprognostic (2.77e-1)"													"unprognostic (3.40e-1)"		"unprognostic (5.81e-2)"			"unprognostic (2.30e-2)"		"unprognostic (2.78e-2)"			
AVIL	"ADVIL, DOC6, FLJ12386, p92"	ENSG00000135407	Advillin	O75366	12	57797376-57818734	"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"		"Actin capping, Actin-binding"	"Disease variant"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"skeletal muscle: 9.5"	"Cell type enhanced"	"Detected in many"		"Bipolar cells: 25.6;Gastric mucus-secreting cells: 25.9;Rod photoreceptor cells: 25.0;Skeletal myocytes: 22.4"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in many"		"Glioblastoma Multiforme (TCGA): 6.0"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	5	"neutrophil: 2.0"	"Lineage enriched"	"Detected in single"	6	"granulocytes: 2.0"	"Cancer enhanced"	"Detected in some"		"lung cancer: 6.6"		"Low region specificity"	"Detected in single"			"Low region specificity"	"Detected in all"			HPA058864	Approved						NA	NA				"Cluster 79: Non-specific - Transcription"	"Cluster 15: Non-specific - Transcription"	"Cluster 24: Non-specific - Unknown function"	"Cluster 55: Non-specific - Transcription"	1			"HPA058864: AB_2683838"	"unprognostic (9.53e-2)"	"unprognostic (8.72e-3)"	"unprognostic (4.01e-3)"		"unprognostic (4.57e-3)"	"unprognostic (1.03e-1)"	"unprognostic (6.03e-2)"	"unprognostic (3.65e-2)"			"unprognostic (3.07e-3)"	"unprognostic (3.19e-2)"		"unprognostic (2.51e-1)"	"unprognostic (3.29e-1)"	"unprognostic (3.38e-1)"	"unprognostic (1.19e-1)"	"unprognostic (1.58e-1)"	"unprognostic (2.78e-1)"	"unprognostic (1.20e-1)"	"unprognostic (2.22e-2)"	"unprognostic (1.18e-1)"	"unprognostic (1.77e-1)"		"unprognostic (5.82e-2)"	"unprognostic (3.56e-1)"		"unprognostic (1.61e-1)"			"unprognostic (1.09e-2)"
B3GNT5	"B3GN-T5, beta3Gn-T5"	ENSG00000176597	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5"	Q9BYG0	3	183253253-183298504	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Lipid metabolism"	"Developmental protein, Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"bone marrow: 75.7"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 146.9;Langerhans cells: 169.7;Squamous epithelial cells: 168.3;Syncytiotrophoblasts: 160.0"	"Cell type enriched"	"Detected in all"	4	"central nervous system macrophage: 360.9"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in some"	6	"neutrophil: 5.6"	"Lineage enriched"	"Detected in many"	6	"granulocytes: 5.6"	"Low cancer specificity"	"Detected in many"			"Prostate - Urothelial cells, Testis - Early spermatids"	"Region enriched"	"Detected in many"	4	"cerebellum: 14.7"	"Low region specificity"	"Detected in all"			HPA017292	Uncertain		Approved	Nucleoli			NA	NA		7200	"Cluster 21: Neutrophils - Unknown function"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 74: Neutrophils - Degranulation"	2	Nucleoli		"HPA017292: AB_1845237"	"unprognostic (2.42e-1)"	"unprognostic (2.68e-1)"	"unprognostic (2.26e-1)"	"unprognostic (2.52e-1)"	"unprognostic (1.30e-2)"	"potential prognostic favorable (3.32e-5)"	"unprognostic (3.12e-1)"	"potential prognostic unfavorable (6.82e-5)"	"unprognostic (1.82e-2)"	"unprognostic (8.69e-3)"	"unprognostic (8.50e-2)"	"unprognostic (3.29e-1)"	"unprognostic (8.98e-3)"	"unprognostic (3.74e-3)"	"unprognostic (1.34e-1)"	"validated prognostic unfavorable (1.18e-4)"	"validated prognostic unfavorable (5.98e-5)"	"unprognostic (4.79e-2)"	"unprognostic (1.99e-2)"	"unprognostic (2.42e-1)"	"unprognostic (3.42e-1)"	"validated prognostic unfavorable (4.15e-4)"	"validated prognostic unfavorable (2.55e-4)"	"unprognostic (2.90e-1)"	"unprognostic (1.53e-1)"	"unprognostic (2.60e-2)"	"unprognostic (2.26e-1)"	"unprognostic (5.37e-2)"	"unprognostic (1.79e-1)"	"unprognostic (2.85e-2)"	"unprognostic (1.04e-3)"
B3GNTL1	B3GNT8	ENSG00000175711	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase like 1"	Q67FW5	17	82942149-83051809	"Metabolic proteins, Predicted intracellular proteins"		"Glycosyltransferase, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Late spermatids: 21.0;Oocytes: 32.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	4	"neutrophil: 6.2"	"Lineage enriched"	"Detected in many"	4	"granulocytes: 6.2"	"Low cancer specificity"	"Detected in all"			"Spleen - Neutrophils"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA023585, HPA024547"	Supported		Approved	"Nucleoli,Nucleoli fibrillar center,Vesicles"			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 23: Choroid plexus - Mixed function"	"Cluster 14: Myeloid leukemia - Innate immune response"	"Cluster 42: Ciliated cells - Cilium assembly"		"Nucleoli, Nucleoli fibrillar center"	Vesicles	"HPA023585: AB_2061075, HPA024547: AB_1845240"	"unprognostic (1.49e-1)"	"unprognostic (7.61e-3)"	"unprognostic (2.02e-2)"	"unprognostic (5.51e-2)"	"unprognostic (1.62e-1)"	"unprognostic (3.21e-1)"	"unprognostic (1.00e-1)"	"unprognostic (1.64e-2)"	"unprognostic (1.04e-2)"	"unprognostic (2.36e-1)"	"validated prognostic unfavorable (2.78e-7)"	"validated prognostic unfavorable (3.63e-4)"	"unprognostic (1.08e-1)"	"potential prognostic unfavorable (1.13e-7)"	"unprognostic (1.39e-3)"	"unprognostic (5.34e-2)"	"unprognostic (1.46e-1)"	"unprognostic (2.84e-1)"	"unprognostic (3.11e-2)"	"unprognostic (1.53e-1)"	"unprognostic (1.37e-2)"	"unprognostic (2.62e-1)"	"unprognostic (1.41e-1)"	"unprognostic (7.00e-2)"	"unprognostic (2.54e-1)"	"unprognostic (1.64e-1)"	"unprognostic (1.53e-1)"	"unprognostic (2.37e-2)"	"unprognostic (3.51e-1)"	"unprognostic (7.38e-2)"	"unprognostic (2.06e-1)"
BASP1	"CAP-23, CAP23, NAP-22, NAP22"	ENSG00000176788	"Brain abundant membrane attached signal protein 1"	P80723	5	17065598-17276843	"Plasma proteins, Predicted intracellular proteins, Transporters"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"brain: 384.5;epididymis: 295.9"	"Cell type enhanced"	"Detected in many"		"Langerhans cells: 534.7;monocytes: 1184.0;Muller glia cells: 673.2;Schwann cells: 458.4;Syncytiotrophoblasts: 880.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	5	"neutrophil: 128.9"	"Lineage enriched"	"Detected in many"	16	"granulocytes: 128.9"	"Cancer enhanced"	"Detected in all"		"Adrenocortical cancer: 573.1"	"Prostate - Prostate glandular cells, Spleen - Neutrophils"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA045218, HPA050333"	Enhanced		Supported	"Plasma membrane"			NA	NA		51000000	"Cluster 21: Neutrophils - Unknown function"	"Cluster 50: Epididymis - Male reproductive secretion"	"Cluster 53: Neurons - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 74: Neutrophils - Degranulation"	18	"Plasma membrane"		"HPA045218: AB_2679263, HPA050333: AB_2681090"	"unprognostic (2.73e-1)"	"unprognostic (9.10e-3)"	"unprognostic (1.81e-1)"	"unprognostic (2.28e-2)"	"unprognostic (2.97e-1)"	"unprognostic (1.47e-1)"	"unprognostic (1.31e-1)"	"unprognostic (7.33e-3)"	"unprognostic (1.16e-3)"	"unprognostic (1.97e-1)"	"potential prognostic unfavorable (2.38e-8)"	"unprognostic (1.11e-2)"	"unprognostic (2.36e-2)"	"unprognostic (1.94e-1)"	"unprognostic (1.51e-2)"	"unprognostic (5.34e-2)"	"unprognostic (3.61e-1)"	"unprognostic (1.26e-2)"	"unprognostic (1.55e-2)"	"unprognostic (1.70e-1)"	"unprognostic (2.11e-1)"	"unprognostic (1.49e-1)"	"unprognostic (7.98e-3)"	"unprognostic (1.44e-1)"	"unprognostic (3.12e-3)"	"unprognostic (3.57e-1)"	"unprognostic (4.97e-1)"	"potential prognostic unfavorable (8.18e-4)"	"unprognostic (1.25e-1)"	"unprognostic (3.55e-2)"	"unprognostic (3.47e-2)"
BEST1	"BEST, BMD, RP50, VMD2"	ENSG00000167995	"Bestrophin 1"	O76090	11	61950063-61965515	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Ion transport, Sensory transduction, Transport, Vision"	"Chloride channel, Ion channel"	"Disease variant, Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"bone marrow: 26.0;brain: 32.0"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 40.3;Kupffer cells: 32.2;monocytes: 51.4;Oligodendrocytes: 40.1"	"Cell type enhanced"	"Detected in many"		"committed oligodendrocyte precursor: 69.2;oligodendrocyte: 70.7"	"Group enriched"	"Detected in many"	21	"Prostate Adenocarcinoma (TCGA): 186.9;Uterine Corpus Endometrial Carcinoma (TCGA): 667.7"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in many"	7	"neutrophil: 37.8"	"Lineage enriched"	"Detected in many"	7	"granulocytes: 37.8"	"Cancer enriched"	"Detected in many"	4	"skin cancer: 18.3"	"Adipose subcutaneous - Macrophages, Spleen - Neutrophils"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA057464	Enhanced						NA	NA			"Cluster 28: Neutrophils - Unknown function"	"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 11: White matter - Signal transduction"	"Cluster 9: Skin cancer - Melanin biosynthesis"	"Cluster 74: Neutrophils - Degranulation"	2			"HPA057464: AB_2683444"	"unprognostic (1.16e-2)"	"unprognostic (7.38e-2)"	"unprognostic (4.50e-2)"	"potential prognostic favorable (2.75e-4)"	"unprognostic (3.21e-2)"	"unprognostic (2.46e-1)"	"unprognostic (1.55e-2)"	"unprognostic (3.56e-1)"		"potential prognostic unfavorable (9.29e-7)"	"validated prognostic unfavorable (3.35e-5)"	"validated prognostic unfavorable (8.62e-4)"	"unprognostic (1.52e-1)"		"unprognostic (1.06e-2)"	"unprognostic (9.35e-2)"	"unprognostic (3.22e-2)"	"unprognostic (7.11e-2)"	"unprognostic (1.68e-1)"		"unprognostic (7.95e-2)"	"unprognostic (6.49e-2)"	"unprognostic (3.06e-2)"	"unprognostic (2.58e-1)"	"unprognostic (1.51e-1)"	"unprognostic (1.56e-1)"	"unprognostic (2.68e-1)"	"unprognostic (3.35e-3)"	"unprognostic (1.54e-1)"	"unprognostic (2.02e-1)"	"unprognostic (1.15e-1)"
C17orf107		ENSG00000205710	"Chromosome 17 open reading frame 107"	Q6ZR85	17	4899418-4902934	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"heart muscle: 16.0;pituitary gland: 26.2"	"Cell type enriched"	"Detected in many"	8	"Late spermatids: 281.3"	"Low cell type specificity"	"Detected in some"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	7	"neutrophil: 2.9"	"Lineage enriched"	"Detected in single"	7	"granulocytes: 2.9"	"Low cancer specificity"	"Detected in some"			"Heart muscle - Fibroblasts, Minor Salivary Gland - Minor salivary glandular cells, Pituitary gland - Corticotropes, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA069713	Uncertain		Approved	Nucleoplasm			NA	NA			"Cluster 21: Neutrophils - Unknown function"	"Cluster 30: Heart muscle - Heart development"	"Cluster 10: Cerebellum - Nucleic acid binding"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 63: Late spermatids - Spermatogenesis"		Nucleoplasm		"HPA069713: AB_2686181"	"unprognostic (3.58e-1)"	"unprognostic (1.50e-3)"	"unprognostic (1.96e-1)"	"unprognostic (1.26e-2)"		"unprognostic (5.04e-2)"			"unprognostic (1.79e-3)"	"unprognostic (1.24e-1)"	"potential prognostic favorable (2.06e-6)"	"unprognostic (7.74e-2)"	"potential prognostic favorable (7.64e-5)"	"unprognostic (7.48e-2)"	"unprognostic (4.59e-2)"	"unprognostic (1.92e-2)"	"unprognostic (1.32e-1)"	"unprognostic (2.26e-1)"	"unprognostic (3.48e-2)"	"unprognostic (2.77e-1)"	"unprognostic (1.19e-2)"	"unprognostic (2.74e-3)"	"unprognostic (4.00e-2)"	"unprognostic (9.56e-2)"		"unprognostic (1.67e-1)"	"unprognostic (5.56e-2)"	"unprognostic (1.04e-1)"	"unprognostic (3.53e-1)"	"unprognostic (4.57e-2)"	"unprognostic (2.58e-1)"
